Years, Poverty rate (%),Population living in poverty (Million),Poverty Line
1981,30.69,38.08,3.00
1982,30.97,39.30,3.00
1983,37.73,48.97,3.00
1984,36.94,49.01,3.00
1985,32.42,43.93,3.00
1986,16.68,23.07,3.00
1987,25.50,35.99,3.00
1988,28.14,40.47,3.00
1989,25.65,37.58,3.00
1990,30.34,45.25,3.00
1992,29.40,45.36,3.00
1993,28.20,44.22,3.00
1995,19.51,31.56,3.00
1996,20.65,33.91,3.00
1997,20.38,33.97,3.00
1998,19.13,32.37,3.00
1999,20.02,34.36,3.00
2001,17.55,30.94,3.00
2002,16.19,28.91,3.00
2003,17.13,30.94,3.00
2004,15.33,28.00,3.00
2005,13.66,25.24,3.00
2006,11.37,21.22,3.00
2007,10.79,20.35,3.00
2008,9.12,17.36,3.00
2009,8.44,16.22,3.00
2011,7.12,13.90,3.00
2012,6.39,12.57,3.00
2013,5.38,10.67,3.00
2014,4.77,9.53,3.00
2015,5.38,10.84,3.00
2016,6.49,13.20,3.00
2017,6.96,14.24,3.00
2018,6.91,14.24,3.00
2019,7.03,14.59,3.00
2020,2.77,5.77,3.00
2021,7.46,15.63,3.00
2022,4.85,10.21,3.00
2023,3.80,8.03,3.00
2024,3.01,6.38,3.00
