uf,sigla_uf,regiao,ibge,municipio
Rio Grande do Sul,RS,Sul,430003,Aceguá
Rio Grande do Sul,RS,Sul,430005,Água Santa
Rio Grande do Sul,RS,Sul,430010,Agudo
Rio Grande do Sul,RS,Sul,430020,Ajuricaba
Rio Grande do Sul,RS,Sul,430030,Alecrim
Rio Grande do Sul,RS,Sul,430040,Alegrete
Rio Grande do Sul,RS,Sul,430045,Alegria
Rio Grande do Sul,RS,Sul,430047,Almirante Tamandaré do Sul
Rio Grande do Sul,RS,Sul,430050,Alpestre
Rio Grande do Sul,RS,Sul,430055,Alto Alegre
Rio Grande do Sul,RS,Sul,430057,Alto Feliz
Rio Grande do Sul,RS,Sul,430060,Alvorada
Rio Grande do Sul,RS,Sul,430063,Amaral Ferrador
Rio Grande do Sul,RS,Sul,430064,Ametista do Sul
Rio Grande do Sul,RS,Sul,430066,André da Rocha
Rio Grande do Sul,RS,Sul,430070,Anta Gorda
Rio Grande do Sul,RS,Sul,430080,Antônio Prado
Rio Grande do Sul,RS,Sul,430085,Arambaré
Rio Grande do Sul,RS,Sul,430087,Araricá
Rio Grande do Sul,RS,Sul,430090,Aratiba
Rio Grande do Sul,RS,Sul,430100,Arroio do Meio
Rio Grande do Sul,RS,Sul,430107,Arroio do Padre
Rio Grande do Sul,RS,Sul,430105,Arroio do Sal
Rio Grande do Sul,RS,Sul,430120,Arroio do Tigre
Rio Grande do Sul,RS,Sul,430110,Arroio dos Ratos
Rio Grande do Sul,RS,Sul,430130,Arroio Grande
Rio Grande do Sul,RS,Sul,430140,Arvorezinha
Rio Grande do Sul,RS,Sul,430150,Augusto Pestana
Rio Grande do Sul,RS,Sul,430155,Áurea
Rio Grande do Sul,RS,Sul,430160,Bagé
Rio Grande do Sul,RS,Sul,430163,Balneário Pinhal
Rio Grande do Sul,RS,Sul,430165,Barão
Rio Grande do Sul,RS,Sul,430170,Barão de Cotegipe
Rio Grande do Sul,RS,Sul,430175,Barão do Triunfo
Rio Grande do Sul,RS,Sul,430185,Barra do Guarita
Rio Grande do Sul,RS,Sul,430187,Barra do Quaraí
Rio Grande do Sul,RS,Sul,430190,Barra do Ribeiro
Rio Grande do Sul,RS,Sul,430192,Barra do Rio Azul
Rio Grande do Sul,RS,Sul,430195,Barra Funda
Rio Grande do Sul,RS,Sul,430180,Barracão
Rio Grande do Sul,RS,Sul,430200,Barros Cassal
Rio Grande do Sul,RS,Sul,430205,Benjamin Constant do Sul
Rio Grande do Sul,RS,Sul,430210,Bento Gonçalves
Rio Grande do Sul,RS,Sul,430215,Boa Vista das Missões
Rio Grande do Sul,RS,Sul,430220,Boa Vista do Buricá
Rio Grande do Sul,RS,Sul,430222,Boa Vista do Cadeado
Rio Grande do Sul,RS,Sul,430223,Boa Vista do Incra
Rio Grande do Sul,RS,Sul,430225,Boa Vista do Sul
Rio Grande do Sul,RS,Sul,430230,Bom Jesus
Rio Grande do Sul,RS,Sul,430235,Bom Princípio
Rio Grande do Sul,RS,Sul,430237,Bom Progresso
